"ROI","ROI.size","average.localizer.mask.size","inter.subject.overlap","sigChange","SubjectNumber","Contrast"
"1","1038","103","1.000000","1.483152","1","1"
"2","1399","139","1.000000","1.430580","1","1"
"3","4863","486","1.000000","0.969636","1","1"
"4","5104","510","1.000000","1.089089","1","1"
"5","888","88","1.000000","0.158769","1","1"
"6","1015","101","1.000000","0.208060","1","1"
"7","3526","352","1.000000","2.191100","1","1"
"8","3381","338","1.000000","0.674180","1","1"
"9","1858","185","1.000000","0.876826","1","1"
"10","1770","177","1.000000","0.921694","1","1"
"11","2147","214","1.000000","1.405371","1","1"
"12","2371","237","1.000000","1.431166","1","1"
"13","2447","244","1.000000","0.616473","1","1"
"14","1345","134","1.000000","0.537586","1","1"
"15","2065","206","1.000000","0.374100","1","1"
"16","2222","222","1.000000","0.472157","1","1"
"17","1615","161","1.000000","0.355901","1","1"
"18","1958","195","1.000000","0.651534","1","1"
"1","1038","103","1.000000","1.332294","1","2"
"2","1399","139","1.000000","1.377182","1","2"
"3","4863","486","1.000000","0.617558","1","2"
"4","5104","510","1.000000","0.703057","1","2"
"5","888","88","1.000000","-0.073259","1","2"
"6","1015","101","1.000000","0.230088","1","2"
"7","3526","352","1.000000","1.951582","1","2"
"8","3381","338","1.000000","0.466375","1","2"
"9","1858","185","1.000000","0.651795","1","2"
"10","1770","177","1.000000","0.766586","1","2"
"11","2147","214","1.000000","1.240477","1","2"
"12","2371","237","1.000000","1.308011","1","2"
"13","2447","244","1.000000","0.322926","1","2"
"14","1345","134","1.000000","0.179134","1","2"
"15","2065","206","1.000000","0.151177","1","2"
"16","2222","222","1.000000","0.184830","1","2"
"17","1615","161","1.000000","0.072816","1","2"
"18","1958","195","1.000000","0.400671","1","2"
"1","1038","103","1.000000","0.150858","1","3"
"2","1399","139","1.000000","0.053398","1","3"
"3","4863","486","1.000000","0.352078","1","3"
"4","5104","510","1.000000","0.386033","1","3"
"5","888","88","1.000000","0.232028","1","3"
"6","1015","101","1.000000","-0.022028","1","3"
"7","3526","352","1.000000","0.239519","1","3"
"8","3381","338","1.000000","0.207805","1","3"
"9","1858","185","1.000000","0.225031","1","3"
"10","1770","177","1.000000","0.155107","1","3"
"11","2147","214","1.000000","0.164894","1","3"
"12","2371","237","1.000000","0.123154","1","3"
"13","2447","244","1.000000","0.293547","1","3"
"14","1345","134","1.000000","0.358452","1","3"
"15","2065","206","1.000000","0.222924","1","3"
"16","2222","222","1.000000","0.287327","1","3"
"17","1615","161","1.000000","0.283085","1","3"
"18","1958","195","1.000000","0.250863","1","3"
"1","1038","103","1.000000","0.690520","2","1"
"2","1399","139","1.000000","0.277420","2","1"
"3","4863","486","1.000000","0.602956","2","1"
"4","5104","510","1.000000","0.450659","2","1"
"5","888","88","1.000000","0.344490","2","1"
"6","1015","101","1.000000","0.132650","2","1"
