"ROI","ROI.size","average.localizer.mask.size","inter.subject.overlap","sigChange","SubjectNumber","Contrast"
"1","2948","294","1.000000","0.336046","1","1"
"2","1627","162","1.000000","0.356582","1","1"
"3","644","64","1.000000","0.100632","1","1"
"4","743","74","1.000000","0.600544","1","1"
"5","462","46","1.000000","0.618669","1","1"
"6","370","37","1.000000","0.794500","1","1"
"1","2948","294","1.000000","0.192287","1","2"
"2","1627","162","1.000000","0.211272","1","2"
"3","644","64","1.000000","0.102277","1","2"
"4","743","74","1.000000","0.419777","1","2"
"5","462","46","1.000000","0.511163","1","2"
"6","370","37","1.000000","0.935983","1","2"
"1","2948","294","1.000000","0.143759","1","3"
"2","1627","162","1.000000","0.145310","1","3"
"3","644","64","1.000000","-0.001645","1","3"
"4","743","74","1.000000","0.180766","1","3"
"5","462","46","1.000000","0.107506","1","3"
"6","370","37","1.000000","-0.141483","1","3"
"1","2948","294","1.000000","0.515553","2","1"
"2","1627","162","1.000000","0.712734","2","1"
"3","644","64","1.000000","0.276090","2","1"
"4","743","74","1.000000","0.967143","2","1"
"5","462","46","1.000000","0.472014","2","1"
"6","370","37","1.000000","0.343033","2","1"
"1","2948","294","1.000000","0.632292","2","2"
"2","1627","162","1.000000","0.807435","2","2"
"3","644","64","1.000000","0.305082","2","2"
"4","743","74","1.000000","1.296639","2","2"
"5","462","46","1.000000","0.571271","2","2"
"6","370","37","1.000000","0.420500","2","2"
"1","2948","294","1.000000","-0.116739","2","3"
"2","1627","162","1.000000","-0.094702","2","3"
"3","644","64","1.000000","-0.028992","2","3"
"4","743","74","1.000000","-0.329497","2","3"
"5","462","46","1.000000","-0.099256","2","3"
"6","370","37","1.000000","-0.077468","2","3"
"1","2948","294","1.000000","0.362460","3","1"
"2","1627","162","1.000000","0.282836","3","1"
"3","644","64","1.000000","0.066959","3","1"
"4","743","74","1.000000","0.741779","3","1"
"5","462","46","1.000000","0.338723","3","1"
"6","370","37","1.000000","0.683283","3","1"
"1","2948","294","1.000000","0.294738","3","2"
"2","1627","162","1.000000","0.101384","3","2"
"3","644","64","1.000000","0.018608","3","2"
"4","743","74","1.000000","0.710555","3","2"
"5","462","46","1.000000","0.416361","3","2"
"6","370","37","1.000000","0.621485","3","2"
"1","2948","294","1.000000","0.067722","3","3"
"2","1627","162","1.000000","0.181452","3","3"
"3","644","64","1.000000","0.048351","3","3"
"4","743","74","1.000000","0.031224","3","3"
"5","462","46","1.000000","-0.077639","3","3"
"6","370","37","1.000000","0.061798","3","3"
"1","2948","294","1.000000","0.894307","4","1"
"2","1627","162","1.000000","1.114475","4","1"
"3","644","64","1.000000","-0.04988","4","1"
