"ROI","ROI.size","average.localizer.mask.size","inter.subject.overlap","sigChange","SubjectNumber","Contrast"
"1","2948","294","1.000000","0.835758","1","1"
"2","1627","162","1.000000","0.534140","1","1"
"3","644","64","1.000000","0.434924","1","1"
"4","743","74","1.000000","1.478182","1","1"
"5","462","46","1.000000","1.932788","1","1"
"6","370","37","1.000000","2.168930","1","1"
"1","2948","294","1.000000","0.846452","1","2"
"2","1627","162","1.000000","0.500144","1","2"
"3","644","64","1.000000","0.398014","1","2"
"4","743","74","1.000000","1.508471","1","2"
"5","462","46","1.000000","1.901366","1","2"
"6","370","37","1.000000","1.977727","1","2"
"1","2948","294","1.000000","-0.010695","1","3"
"2","1627","162","1.000000","0.033996","1","3"
"3","644","64","1.000000","0.036911","1","3"
"4","743","74","1.000000","-0.030289","1","3"
"5","462","46","1.000000","0.031421","1","3"
"6","370","37","1.000000","0.191203","1","3"
"1","2948","294","1.000000","1.045492","2","1"
"2","1627","162","1.000000","0.750096","2","1"
"3","644","64","1.000000","0.803528","2","1"
"4","743","74","1.000000","2.256675","2","1"
"5","462","46","1.000000","0.689090","2","1"
"6","370","37","1.000000","1.286176","2","1"
"1","2948","294","1.000000","1.230617","2","2"
"2","1627","162","1.000000","0.831414","2","2"
"3","644","64","1.000000","0.818080","2","2"
"4","743","74","1.000000","2.702636","2","2"
"5","462","46","1.000000","0.983380","2","2"
"6","370","37","1.000000","1.430515","2","2"
"1","2948","294","1.000000","-0.185125","2","3"
"2","1627","162","1.000000","-0.081318","2","3"
"3","644","64","1.000000","-0.014553","2","3"
"4","743","74","1.000000","-0.445961","2","3"
"5","462","46","1.000000","-0.294290","2","3"
"6","370","37","1.000000","-0.144339","2","3"
"1","2948","294","1.000000","0.622231","3","1"
"2","1627","162","1.000000","0.662359","3","1"
"3","644","64","1.000000","0.004203","3","1"
"4","743","74","1.000000","0.476761","3","1"
"5","462","46","1.000000","0.372254","3","1"
"6","370","37","1.000000","0.414204","3","1"
"1","2948","294","1.000000","0.439319","3","2"
"2","1627","162","1.000000","0.549567","3","2"
"3","644","64","1.000000","-0.048907","3","2"
"4","743","74","1.000000","0.424670","3","2"
"5","462","46","1.000000","0.263826","3","2"
"6","370","37","1.000000","0.330855","3","2"
"1","2948","294","1.000000","0.182912","3","3"
"2","1627","162","1.000000","0.112792","3","3"
"3","644","64","1.000000","0.053111","3","3"
"4","743","74","1.000000","0.052091","3","3"
"5","462","46","1.000000","0.108428","3","3"
"6","370","37","1.000000","0.083350","3","3"
"1","2948","294","1.000000","1.846412","4","1"
"2","1627","162","1.000000","1.197202","4","1"
"3","644","64","1.000000","1.316734","4","1"
"4","743","74","1.000000","2.025755","4","1"
"5","462","46","1.000000","1.074475","4","1"
"6","370","37","1.000000","2.526608","4","1"
"1","2948","294","1.000000","1.569648","4","2"
"2","1627","162","1.000000","1.075442","4","2"
"3","644","64","1.000000","1.225612","4","2"
"4","743","74","1.000000","1.568127","4","2"
"5","462","46","1.000000","0.804836","4","2"
"6","370","37","1.000000","1.683705","4","2"
"1","2948","294","1.000000","0.276763","4","3"
"2","1627","162","1.000000","0.12176","4","3"
"3","644","64","1.000000","0.091122","4","3"
"4","743","74","1.000000","0.457628","4","3"
"5","462","46","1.000000","0.269639","4","3"
"6","370","37","1.000000","0.842903","4","3"
"1","2948","294","1.000000","1.058869","5","1"
"2","1627","162","1.000000","0.597094","5","1"
"3","644","64","1.000000","0.44934","5","1"
"4","743","74","1.000000","0.688198","5","1"
"5","462","46","1.000000","1.293169","5","1"
"6","370","37","1.000000","3.052947","5","1"
"1","2948","294","1.000000","1.140096","5","2"
"2","1627","162","1.000000","0.71406","5","2"
"3","644","64","1.000000","0.421636","5","2"
"4","743","74","1.000000","0.790279","5","2"
"5","462","46","1.000000","1.509547","5","2"
"6","370","37","1.000000","2.669755","5","2"
"1","2948","294","1.000000","-0.081227","5","3"
"2","1627","162","1.000000","-0.116967","5","3"
"3","644","64","1.000000","0.027703","5","3"
"4","743","74","1.000000","-0.102081","5","3"
"5","462","46","1.000000","-0.216378","5","3"
"6","370","37","1.000000","0.383192","5","3"
"1","2948","294","1.000000","1.178982","6","1"
"2","1627","162","1.000000","1.272826","6","1"
"3","644","64","1.000000","0.610679","6","1"
"4","743","74","1.000000","1.443506","6","1"
"5","462","46","1.000000","1.775617","6","1"
"6","370","37","1.000000","2.872388","6","1"
"1","2948","294","1.000000","1.01439","6","2"
"2","1627","162","1.000000","1.121839","6","2"
"3","644","64","1.000000","0.574479","6","2"
"4","743","74","1.000000","1.392656","6","2"
"5","462","46","1.000000","1.644829","6","2"
"6","370","37","1.000000","2.81764","6","2"
"1","2948","294","1.000000","0.164591","6","3"
"2","1627","162","1.000000","0.150988","6","3"
"3","644","64","1.000000","0.0362","6","3"
"4","743","74","1.000000","0.05085","6","3"
"5","462","46","1.000000","0.130788","6","3"
"6","370","37","1.000000","0.054748","6","3"
"1","2948","294","1.000000","0.354214","7","1"
"2","1627","162","1.000000","0.104685","7","1"
"3","644","64","1.000000","-0.018924","7","1"
"4","743","74","1.000000","1.35018","7","1"
"5","462","46","1.000000","1.15418","7","1"
"6","370","37","1.000000","1.317765","7","1"
"1","2948","294","1.000000","0.403076","7","2"
"2","1627","162","1.000000","0.197235","7","2"
"3","644","64","1.000000","-0.051213","7","2"
"4","743","74","1.000000","1.476917","7","2"
"5","462","46","1.000000","1.105307","7","2"
"6","370","37","1.000000","1.474158","7","2"
"1","2948","294","1.000000","-0.048862","7","3"
"2","1627","162","1.000000","-0.09255","7","3"
"3","644","64","1.000000","0.032288","7","3"
"4","743","74","1.000000","-0.126736","7","3"
"5","462","46","1.000000","0.048872","7","3"
"6","370","37","1.000000","-0.156393","7","3"
"1","2948","294","1.000000","1.451777","8","1"
"2","1627","162","1.000000","1.220777","8","1"
"3","644","64","1.000000","0.180964","8","1"
"4","743","74","1.000000","1.383432","8","1"
"5","462","46","1.000000","0.740014","8","1"
"6","370","37","1.000000","1.93358","8","1"
"1","2948","294","1.000000","1.526084","8","2"
"2","1627","162","1.000000","1.117686","8","2"
"3","644","64","1.000000","0.149178","8","2"
"4","743","74","1.000000","1.538651","8","2"
"5","462","46","1.000000","1.165898","8","2"
"6","370","37","1.000000","1.911991","8","2"
"1","2948","294","1.000000","-0.074308","8","3"
"2","1627","162","1.000000","0.10309","8","3"
"3","644","64","1.000000","0.031786","8","3"
"4","743","74","1.000000","-0.155219","8","3"
"5","462","46","1.000000","-0.425884","8","3"
"6","370","37","1.000000","0.021589","8","3"
"1","2948","294","1.000000","1.367721","9","1"
"2","1627","162","1.000000","1.078672","9","1"
"3","644","64","1.000000","0.093323","9","1"
"4","743","74","1.000000","2.31041","9","1"
"5","462","46","1.000000","0.520231","9","1"
"6","370","37","1.000000","2.178965","9","1"
"1","2948","294","1.000000","1.169656","9","2"
"2","1627","162","1.000000","0.825009","9","2"
"3","644","64","1.000000","-0.11505","9","2"
"4","743","74","1.000000","1.749227","9","2"
"5","462","46","1.000000","0.384781","9","2"
"6","370","37","1.000000","1.795361","9","2"
"1","2948","294","1.000000","0.198065","9","3"
"2","1627","162","1.000000","0.253663","9","3"
"3","644","64","1.000000","0.208373","9","3"
"4","743","74","1.000000","0.561183","9","3"
"5","462","46","1.000000","0.13545","9","3"
"6","370","37","1.000000","0.383604","9","3"
"1","2948","294","1.000000","1.199607","10","1"
"2","1627","162","1.000000","1.069662","10","1"
"3","644","64","1.000000","0.216324","10","1"
"4","743","74","1.000000","4.392391","10","1"
"5","462","46","1.000000","2.295061","10","1"
"6","370","37","1.000000","2.018475","10","1"
"1","2948","294","1.000000","1.138856","10","2"
"2","1627","162","1.000000","1.042568","10","2"
"3","644","64","1.000000","0.201429","10","2"
"4","743","74","1.000000","4.513006","10","2"
"5","462","46","1.000000","2.517442","10","2"
"6","370","37","1.000000","1.947482","10","2"
"1","2948","294","1.000000","0.060751","10","3"
"2","1627","162","1.000000","0.027094","10","3"
"3","644","64","1.000000","0.014896","10","3"
"4","743","74","1.000000","-0.120615","10","3"
"5","462","46","1.000000","-0.222381","10","3"
"6","370","37","1.000000","0.070993","10","3"
"1","2948","294","1.000000","1.471429","11","1"
"2","1627","162","1.000000","0.705252","11","1"
"3","644","64","1.000000","0.49558","11","1"
"4","743","74","1.000000","3.083466","11","1"
"5","462","46","1.000000","1.418419","11","1"
"6","370","37","1.000000","1.899243","11","1"
"1","2948","294","1.000000","1.589762","11","2"
"2","1627","162","1.000000","0.640834","11","2"
"3","644","64","1.000000","0.293231","11","2"
"4","743","74","1.000000","3.113567","11","2"
"5","462","46","1.000000","1.510107","11","2"
"6","370","37","1.000000","1.935319","11","2"
"1","2948","294","1.000000","-0.118333","11","3"
"2","1627","162","1.000000","0.064418","11","3"
"3","644","64","1.000000","0.202349","11","3"
"4","743","74","1.000000","-0.030101","11","3"
"5","462","46","1.000000","-0.091688","11","3"
"6","370","37","1.000000","-0.036076","11","3"
"1","2948","294","1.000000","1.680938","12","1"
"2","1627","162","1.000000","1.314906","12","1"
"3","644","64","1.000000","1.75823","12","1"
"4","743","74","1.000000","1.481479","12","1"
"5","462","46","1.000000","2.496555","12","1"
"6","370","37","1.000000","1.927422","12","1"
"1","2948","294","1.000000","1.737995","12","2"
"2","1627","162","1.000000","1.230561","12","2"
"3","644","64","1.000000","1.539608","12","2"
"4","743","74","1.000000","1.533967","12","2"
"5","462","46","1.000000","2.543195","12","2"
"6","370","37","1.000000","2.020247","12","2"
"1","2948","294","1.000000","-0.057058","12","3"
"2","1627","162","1.000000","0.084345","12","3"
"3","644","64","1.000000","0.218622","12","3"
"4","743","74","1.000000","-0.052488","12","3"
"5","462","46","1.000000","-0.04664","12","3"
"6","370","37","1.000000","-0.092825","12","3"
1.000000","0.064418","11","3"
"195","3","644","64","1.000000","0.202349","11","3"
"196","4","743","74","1.000000","-0.030101","11","3"
"197","5","462","46","1.000000","-0.091688","11","3"
"198","6","370","37","1.000000","-0.036076","11","3"
"199","1","2948","294","1.000000","1.680938","12","1"
"200","2","1627","162","1.000000","1.314906","12","1"
"201","3","644","64","1.000000","1.75823","12","1"
"202","4","743","74","1.000000","1.481479","12","1"
"203","5","462","46","1.000000","2.496555","12","1"
"204","6","370","37","1.000000","1.927422","12","1"
"205","1","2948","294","1.000000","1.737995","12","2"
"206","2","1627","162","1.000000","1.230561","12","2"
"207","3","644","64","1.000000","1.539608","12","2"
"208","4","743","74","1.000000","1.533967","12","2"
"209","5","462","46","1.000000","2.543195","12","2"
